id,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
77516,39, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K
83311,50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,13, United-States, <=50K
215646,38, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
234721,53, Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40, United-States, <=50K
338409,28, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female,40, Cuba, <=50K
284582,37, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, United-States, <=50K
160187,49, Private, 9th, Married-spouse-absent, Other-service, Not-in-family, Black, Female,16, Jamaica, <=50K
209642,52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States, >50K
45781,31, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States, >50K
159449,42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
280464,37, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,80, United-States, >50K
141297,30, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,40, India, >50K
122272,23, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,30, United-States, <=50K
205019,32, Private, Assoc-acdm, Never-married, Sales, Not-in-family, Black, Male,50, United-States, <=50K
121772,40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40, ?, >50K
245487,34, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,45, Mexico, <=50K
176756,25, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,35, United-States, <=50K
186824,32, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,40, United-States, <=50K
